Index,ID,User_ID,Friends_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
29,1094593834095398918,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,6,31,2019-02-10 13:48:01,"Chimps use branch to make ladder, escape Belfast Zoo https://t.co/4rKCnhV8nC https://t.co/w8BG1tlAlk"
30,1094589552256266240,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,5,2019-02-10 13:31:00,Minnesota tribe asks: Can wild rice have its own legal rights? https://t.co/e298tecniY
31,1094582395930660864,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,3,2019-02-10 13:02:34,Month’s detention for driver looking at phone when she hit and severely injured road worker (in photo) in Anoka Cou… https://t.co/ED4YUKM5KH
32,1094486251800068096,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,12,4,2019-02-10 06:40:31,"2 women found shot and killed in southeast Minneapolis apartment building, police say. https://t.co/wFPR2wfe89 https://t.co/ldYapwT6p3"
33,1094472027317112832,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,0,2019-02-10 05:44:00,Blaine police ID husband and the wife he said he killed. https://t.co/hpoQTfZkU0
34,1094470210688634881,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,4,2019-02-10 05:36:47,Update: The Minnesota State Patrol has identified the 38-year-old woman struck by an SUV and killed while she tried… https://t.co/YmNJsy5SSk
35,1094466239496441856,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,8,2019-02-10 05:21:00,Woodbury police use history exhibit in implicit bias training. https://t.co/lUvNWrVGGe
36,1094461206100758528,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,16,2019-02-10 05:01:00,Preventing evictions becomes a focus in fight against homelessness in Minnesota. https://t.co/xATcAGUMN8
37,1094456172910993408,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,10,2019-02-10 04:41:00,Sen. Elizabeth Warren makes presidential bid official with call for change. https://t.co/ddAkGJykur https://t.co/5RuSFAD9wp
38,1094455142211112960,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,3,2019-02-10 04:36:54,"Pedestrian struck, killed while trying to cross Farmington highway, Minnesota State Patrol says.… https://t.co/tHRkuWkSoY"
39,1094451391676981249,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-10 04:22:00,"Sex, lies, and claims of tabloid blackmail: Jeff Bezos vs. the National Enquirer. https://t.co/dDGtQWcvdp"
40,1094446106673467394,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,5,2019-02-10 04:01:00,"Despite bump in tourism dollars, Duluth sees room for growth. https://t.co/NDHJ1RF3ys"
41,1094440569999245313,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,4,5,2019-02-10 03:39:00,The former police chief aims to make the state's prisons safer and saner. https://t.co/70SYJjIuow
