Index,ID,User_ID,Friends_Count,Followers_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
1,1094683568813395969,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,1,2,2019-02-10 19:44:35,In the Spotlight: Milzy Carrasco working to deliver promise of strong neighborhoods https://t.co/ivbUGMGDCW https://t.co/olAyzQDAMg
2,1094683564258426880,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,0,2019-02-10 19:44:34,"Women dominated in Grammys nominations, but will they win? https://t.co/9cCUyh2tQW https://t.co/6OkYh8FFL7"
3,1094434163673915392,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,1,2019-02-10 03:13:32,Fire chief wants changes in wake of Las Vegas mass shooting https://t.co/8ATscFvZG4 https://t.co/dPi02A27vE
4,1094320669985202176,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,1,2019-02-09 19:42:33,Smoke sends 6 to hospital after Manor Street house fire https://t.co/Fiw0FZHbhI https://t.co/78rwQXkiSn
5,1094320665904087041,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,1,2019-02-09 19:42:32,"Breakfast tour at Lancaster's Central Market features smoked salmon, guava puff https://t.co/eQUJDFGe9R https://t.co/IjMsqVcwQ0"
6,1094071023836659713,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,1,0,2019-02-09 03:10:33,"Amid protest, Elanco takes a measured approach to accommodating transgender student [opinion]… https://t.co/KU9Z26rFQb"
7,1093949476123734016,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,1,2019-02-08 19:07:34,Lancaster woman charged with stabbing ex-boyfriend in groin https://t.co/wMRnSwgQB8 https://t.co/dX55DDkmHy
8,1093949472118206464,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,1,2019-02-08 19:07:33,Automakers recall 1.7 million cars with fatal airbags https://t.co/LWZOdvBZbT https://t.co/ipPNzLCYGt
9,1093924501488848902,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,2,2019-02-08 17:28:19,More change may be ahead for some Lancaster city streets. Weigh in. https://t.co/sH6hMiZx3p
10,1093707878253260800,1011901,553,49931,2321,511,93849,2007-03-12 14:07:55,0,2,2019-02-08 03:07:32,Competitive cornhole comes to Spooky Nook this weekend https://t.co/w4uGp1p94T https://t.co/yTMFPzvnUo
