Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
858,pittsburghpg,https://www.post-gazette.com/news/crime-courts/2019/01/29/Allegheny-County-Jail-inmate-death-asthma-edward-pete-davis/stories/201901290126?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 18:04:01 -0500",2,"""Virginia Wright, of Marshall-Shadeland, holds a photo of her son, 55-year-old Edward \""Pete\"" Davis, who died Monday, Jan. 28, 2019 after having trouble breathing in the Allegheny County Jail.  ""","""Shelly Bradbury\/Post-Gazette"""
858,pittsburghpg,,,2,"""Edward \""Pete\"" Davis, 55, of Marshall-Shadeland, seen in an undated family photo, died Monday, Jan. 28, 2019 after he had trouble breathing in the Allegheny County Jail.  ""","""Shelly Bradbury\/Post-Gazette"""
859,pittsburghpg,https://www.post-gazette.com/news/world/2019/01/29/Brexit-Theresa-May-British-Parliament-vote-renegotiate-deal-EU/stories/201901290121?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 16:59:06 -0500",1,"""British Prime Minister Theresa May speaks to attends a Brexit summit in Brussels, Belgium, on Oct. 17, 2018. MUST CREDIT: Bloomberg photo by Jasper Juinen""","""Jasper Juinen"""
860,pittsburghpg,https://www.post-gazette.com/news/politics-state/2019/01/29/Pennsylvania-State-Senate-Don-White-Indiana-Armstrong-Butler-Westmoreland-retirement/stories/201901290119?utm_medium=social&utm_source=twitter_pittsburghpg,"Tue, 29 Jan 2019 16:54:37 -0500",1,"""State Sen. Don White, R-Indiana, in 2011.""","""Pam Pamchak\/Post-Gazette"""
861,pittsburghpg,https://www.post-gazette.com/ae/tv-radio/2019/01/29/Tuned-In-Project-Runway-moves-back-to-Bravo-Vanessa-Williams-cast-in-Pittsburgh-set-pilot/stories/201901290113?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 15:44:17 -0500",1,"""Christian Siriano and Karlie Kloss star in \""Project Runway,\"" which returns to Bravo on March 14.""","""Miller Mobley\/Bravo"""
862,pittsburghpg,https://www.post-gazette.com/local/region/2019/01/29/POLL-Fireplace-Bowl-of-stew-Pet-wearing-How-will-you-stay-warm-this-week-polar-vortex-below-zero-pittsburgh-winter/stories/201901290115?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 16:15:35 -0500",1,"""A bundled up Joseph Walker, from Homewood, a corrosion tech with Peoples Gas, checks readings at Bates and Oakland avenues Tuesday, Jan. 29, 2019, in Pittsburgh.""","""Pam Panchak\/Post-Gazette"""
863,pittsburghpg,https://www.post-gazette.com/local/city/2019/01/29/City-80-000-settlement-lawsuit-Brighton-Heights-North-Side-Tabatha-Werkmeister-SWAT-2015/stories/201901290086?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 11:54:39 -0500",1,"""Pittsburgh Bureau of Police SWAT members leave a scene in Bloomfield in January 2019 in this file photo.""","""Steph Chambers\/Post-Gazette"""
865,pittsburghpg,https://www.post-gazette.com/local/city/2019/01/29/City-warming-centers-extreme-cold-arctic-polar-vortex-wind-chill-advisory/stories/201901290087?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 12:03:59 -0500",6,"""Bob Elphinstone of Portersville, Pa., carries Molly, his 7-year-old  miniature  dachshund,  onto the ice at the east end of Lake Arthur on Tuesday. Mr. Elphinstone was set to go fishing in the Frank Preston Conservation area of Moraine State Park. \""She's my fish finder,\"" he says of Molly.""","""Darrell Sapp\/Post-Gazette"""
865,pittsburghpg,,,6,"""Todd Pearce of Big Run in Jefferson County, just east of Punxsutawney, wears a Lynx hat as he looks over Lake Arthur on Tuesday. This is Mr. Pearce's second year of ice fishing on the frozen Butler County lake.""","""Darrell Sapp\/Post-Gazette"""
865,pittsburghpg,,,6,"""People set up their fishing holes Tuesday on Lake Arthur.""","""Darrell Sapp\/Post-Gazette"""
865,pittsburghpg,,,6,"""Ben Lucarelli of Ellwood City drills a hole into six-inch thick ice at Lake Arthur on Tuesday.""","""Darrell Sapp\/Post-Gazette"""
865,pittsburghpg,,,6,"""Jim Snyder of Penn Hills sets up a fishing line on the ice at Lake Arthur. Of being on the frozen lake, Mr. Snyder, a retired sheriff's deputy, says he is \""living my best life.\""""","""Darrell Sapp\/Post-Gazette"""
865,pittsburghpg,,,6,"""Jim Snyder of Penn Hills sets up a fishing line Tuesday on the six-inch thick ice on Lake Arthur.""","""Darrell Sapp\/Post-Gazette"""
866,pittsburghpg,https://www.post-gazette.com/life/dining/2019/01/29/Scott-Walton-Acorn-Taste-of-NFL-fundraiser-Atlanta/stories/201901290085?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 11:50:32 -0500",3,"""Chef Scott Walton of Acorn will serve a vegetarian play on fried rice made with peanuts, celery root and apple kimchi when he represents Pittsburgh at the Taste of the NFL fundraising event in Atlanta on Saturday. ""","""Brian Singer\/Deciduous Hospitality Group"""
866,pittsburghpg,,,3,"""Chef Scott Walton of Acorn will serve a vegetarian play on fried rice made with peanuts, celery root and apple kimchi when he represents Pittsburgh at the Taste of the NFL fundraising event in Atlanta on Saturday. ""","""Brian Singer\/Deciduous Hospitality Group"""
866,pittsburghpg,,,3,"""Chef Scott Walton works in the kitchen of Acorn, his restaurant in Shadyside.""",""" Brian Singer, Deciduous Hospitality Group"""
867,pittsburghpg,https://www.post-gazette.com/life/recreation/2019/01/29/Drowned-Hogs-Monongahela-River-jump-Groundhog-Day-Emmaus-Community-freezing/stories/201901280127?utm_medium=social&utm_source=twitter_PittsburghPG,"Mon, 28 Jan 2019 17:08:01 -0500",3,"""Hal Homker of Cecil lounges in a pool of cold water at the Pitts-burrrrgh Drowned Hogs charity event at the 18th Street boat ramp in South Side in February 2014.""","""Connor Mulvaney\/Post-Gazette"""
867,pittsburghpg,,,3,"""Drowned Hogs founder Al Bollinger dumps cold river water on two club members during the 2014 event at the 18th Street boat ramp in the South Side.""","""Connor Mulvaney\/Post-Gazette"""
867,pittsburghpg,,,3,"""Members of the Drowned Hogs react after dousing each other  with frigid water at the 18th Street boat ramp in the South Side in 2014. ""","""Connor Mulvaney\/Post-Gazette"""
868,pittsburghpg,https://www.post-gazette.com/uncategorized/2019/01/28/Pittsburgh-officials-prepare-frigid-weather-cold-extreme/stories/201901280091?utm_medium=social&utm_source=twitter_PittsburghPG,"Tue, 29 Jan 2019 00:51:41 -0500",3,"""Father and son John, left, and Johnny Nagel were dressed for the cold temperatures on Friday, Jan. 18, 2019, while shoveling snow outside their north Bismarck, N.D., home. ""","""Tom Stromme\/The Bismarck Tribune via AP"""
868,pittsburghpg,,,3,"""A snow squall blows through Downtown as pedestrians cross Grant Street at 6th Avenue, Wednesday Dec. 5, 2018 in Pittsburgh.""","""Darrell Sapp\/Post-Gazette"""
868,pittsburghpg,,,3,"""Representatives of the Pittsburgh Public Safety Department, including Fire Chief Darryl E. Jones, Public Safety Director Wendell Hissrich and Emergency Medical Services Chief Ronald V. Romano, discuss the impending arrival of extreme cold in Pittsburgh, in the City-County Building, Downtown.""","""Ashley Murray\/Post-Gazette"""
871,pittsburghpg,https://www.post-gazette.com/,"Fri, 01 Mar 2019 18:26:32 -0500",10,"""Pennsylvania Lt. Gov. John Fetterman shakes hands with staff on the opening day of Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington."",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical05-4-1551468290.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca151,0,2582,1620\/20190225arNewKenMedical05-4.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical02-1"",""caption"":""Pennsylvania Lt. Gov. John Fetterman talks to people in line on the opening day of Cresco Yeltrah medical marijuana dispensary on Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical02-1-1551460924.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca86,58,2600,1733\/20190225arNewKenMedical02-1.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical04-3"",""caption"":""Gisele Fetterman shows the medical marijuana products she purchased on the opening day of the Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical04-3-1551462526.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC\/20190225arNewKenMedical04-3.jpg""}","s:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical05-4"",""caption"":""Pennsylvania Lt. Gov. John Fetterman shakes hands with staff on the opening day of Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington."",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical05-4-1551468290.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca151,0,2582,1620\/20190225arNewKenMedical05-4.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical02-1"",""caption"":""Pennsylvania Lt. Gov. John Fetterman talks to people in line on the opening day of Cresco Yeltrah medical marijuana dispensary on Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical02-1-1551460924.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca86,58,2600,1733\/20190225arNewKenMedical02-1.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical04-3"",""caption"":""Gisele Fetterman shows the medical marijuana products she purchased on the opening day of the Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical04-3-1551462526.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC\/20190225arNewKenMedical04-3.jpg""}"
871,pittsburghpg,,,10,"""Pennsylvania Lt. Gov. John Fetterman shakes hands with staff on the opening day of Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington."",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical05-4-1551468290.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca151,0,2582,1620\/20190225arNewKenMedical05-4.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical02-1"",""caption"":""Pennsylvania Lt. Gov. John Fetterman talks to people in line on the opening day of Cresco Yeltrah medical marijuana dispensary on Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical02-1-1551460924.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca86,58,2600,1733\/20190225arNewKenMedical02-1.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical04-3"",""caption"":""Gisele Fetterman shows the medical marijuana products she purchased on the opening day of the Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical04-3-1551462526.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC\/20190225arNewKenMedical04-3.jpg""}","s:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical05-4"",""caption"":""Pennsylvania Lt. Gov. John Fetterman shakes hands with staff on the opening day of Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington."",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical05-4-1551468290.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca151,0,2582,1620\/20190225arNewKenMedical05-4.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical02-1"",""caption"":""Pennsylvania Lt. Gov. John Fetterman talks to people in line on the opening day of Cresco Yeltrah medical marijuana dispensary on Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical02-1-1551460924.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC_ca86,58,2600,1733\/20190225arNewKenMedical02-1.jpg""},{""url"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/700x700_cMC\/20190225arNewKenMedical04-3"",""caption"":""Gisele Fetterman shows the medical marijuana products she purchased on the opening day of the Cresco Yeltrah medical marijuana dispensary, Monday, Feb. 25, 2019, in New Kensington. "",""cdn"":{""host"":""9b16f79ca967fd0708d1-2713572fef44aa49ec323e813b06d2d9.ssl.cf2.rackcdn.com"",""fileName"":""20190225arNewKenMedical04-3-1551462526.jpg"",""sizes"":[""600x_a4-3_cTC"",""300x_a1-1_cTC"",""1140x_a10-7_cTC"",""1200x"",""100x_a1-1_cTC"",""460x_a4-5_cTC""]},""url_hero"":""https:\/\/www.post-gazette.com\/image\/2019\/02\/25\/1140x_a10-7_cTC\/20190225arNewKenMedical04-3.jpg""}"
