Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
296,oregonian,https://www.oregonlive.com/business/2019/02/family-of-4-evicted-from-272-square-foot-tiny-home-in-bend.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-06T09:09:11,1,"Steve Bryant carries containers of his family's belongings from his tiny house to a larger home he owns on his property on Friday, Jan. 25, 2019, in Bend. Bryant, his wife, and two daughters have been living in the tiny home while renting out the main house. Recently, Bryant received a notice from the City of Bend that his family could not live in the tiny home or they would face fines. (Joe Kline/The Bulletin)",(Joe Kline/The Bulletin)
297,oregonian,https://www.oregonlive.com/politics/2019/02/secretary-of-state-dennis-richardson-undergoing-cancer-treatment-scales-back-hours.html?utm_medium=social&utm_source=twitter&utm_campaign=oregonian_sf,2019-02-04T11:49:37,1,"Oregon Secretary of State Dennis Richardson attended the swearing-in of Labor Commissioner Val Hoyle in the Capitol, on Jan. 7, 2019.",NA
298,oregonian,https://www.oregonlive.com/entertainment/2019/02/show-puts-portlanders-stories-of-chronic-illness-in-the-spotlight.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-04T05:00:41,1,"The cast of ""(Un)Conditional,"" all Portlanders, will share their stories of having chronic illness or caring for someone with chronic illness. (Courtesy of Profile Theatre)",(Courtesy of Profile Theatre)
299,oregonian,https://www.oregonlive.com/commuting/2019/02/portland-blasts-lyft-for-proposed-statewide-assault-on-local-regulations.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T15:37:39,1,"FILE - Uber and Lyft have successfully lobbied several states after battling with cities over regulatory matters. (AP Photo/Richard Vogel, File)","(AP Photo/Richard Vogel, File)"
301,oregonian,https://www.oregonlive.com/environment/2019/02/mount-hood-wolf-may-have-died-from-injuries-sustained-when-it-was-captured-officials-say.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-04T21:34:44,1,"Two wolf pups were observed on the Warm Springs reservation in early August, marking the first time the wolves have successfully bred in Oregon's northern Cascades since the animals returned to the state.",NA
302,oregonian,https://www.oregonlive.com/sports/oregonian/bill_monroe/2019/02/first_springer_caught_in_lower.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T06:10:49,1,"Dave Frey of Lake Oswego landed the year's first official Willamette spring chinook salmon, a 16-pounder. (John Shmilenko)",(John Shmilenko)
303,oregonian,https://www.oregonlive.com/business/2019/02/first-adult-over-30-gets-measles-in-vancouver-area-outbreak.html?utm_campaign=oregonian_sf&utm_source=twitter&utm_medium=social,2019-02-04T11:45:50,0,NA,NA
304,oregonian,https://www.oregonlive.com/dining/2019/02/greshams-best-restaurant-closed-earlier-this-month.html?utm_campaign=oregonian_sf&utm_source=twitter&utm_medium=social,2019-03-04T09:45:22,0,NA,NA
305,oregonian,https://www.oregonlive.com/pacific-northwest-news/2019/02/searchers-reach-injured-missing-hiker-in-columbia-river-gorge.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-05T10:31:46,1,"A snowy portion of the Columbia River Gorge is seen in a March 10, 2018, file photo. Mount Hood towers in the distance. Flight courtesy of Oregon Helicopters. (LC- Mark Graves)",(LC- Mark Graves)
307,oregonian,https://www.oregonlive.com/washingtoncounty/2019/02/plumber-accused-of-stealing-17000-from-elderly-beaverton-customer.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-04T19:39:25,1,Cris Brackens (Washington County Sheriff's Office),(Washington County Sheriff's Office)
308,oregonian,https://www.oregonlive.com/silicon-forest/2019/02/intel-confirms-plans-for-huge-oregon-factory.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-05T16:09:42,0,NA,NA
309,oregonian,https://www.oregonlive.com/politics/2019/02/rent-control-eviction-protection-bill-advance-in-oregon-senate.html?utm_campaign=oregonian_sf&utm_source=twitter&utm_medium=social,2019-02-05T08:56:28,1,"In this Nov. 10, 2015, file photo, apartments for rent are shown in Portland. (AP)",(AP)
310,oregonian,https://www.oregonlive.com/opinion/2019/02/readers-respond-a-culture-of-contempt.html?utm_medium=social&utm_source=twitter&utm_campaign=oregonian_sf,2019-02-04T18:30:38,1,"A University of Michigan sophomore, black shirt, fights with an individual, red shirt, while a group of protesters block the intersection of State Street and South University Street on Wednesday, September 20, 2017. The group organized at the Michigan Union to address the recent incidents of racism on campus. Matt Weigand | The Ann Arbor News (ANN ARBOR NEWS)",(ANN ARBOR NEWS)
311,oregonian,https://www.oregonlive.com/entertainment/2019/02/pamela-adlon-on-making-better-things-without-former-collaborator-louis-ck-tv-winter-press-tour.html?utm_medium=social&utm_source=twitter&utm_campaign=oregonian_sf,2019-02-04T16:36:46,1,"Mikey Madison, Hannah Alligood, Pamela Adlon, and Olivia Edward were at the Television Critics Association 2019 winter press tour to talk about the upcoming Season 3 of the FX series, ""Better Things."" (Photo: Gregg DeGuire/Getty Images)",(Photo: Gregg DeGuire/Getty Images)
312,oregonian,https://www.oregonlive.com/sports/2019/02/canzano-a-moment-of-truth-led-by-a-winning-team.html?utm_medium=social&utm_source=twitter&utm_campaign=oregonian_sf,2019-02-04T22:18:32,1,Dean Sanderson and McKay High is 0-18 this season.,NA
313,oregonian,https://www.oregonlive.com/entertainment/2019/02/carolyn-hax-mom-wont-buy-healthy-foods-for-overweight-daughter.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T17:11:34,1,NA,NA
315,oregonian,https://www.oregonlive.com/opinion/2019/02/readers-respond-oregon-blazes-trails-with-vote-by-mail.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T16:35:50,1,"FILE - In this Nov. 8, 2016, file photo, Dennis Richardson, the Oregon Republican Secretary of State. (AP Photo/Timothy J. Gonzalez, File)","(AP Photo/Timothy J. Gonzalez, File)"
316,oregonian,https://www.oregonlive.com/blazers/2019/02/the-oregon-trail-blazers-lawmaker-introduces-legislation-to-change-portland-trail-blazers-name.html?utm_campaign=oregonian_sf&utm_medium=social&utm_source=twitter,2019-02-05T14:45:06,0,NA,NA
317,oregonian,https://www.oregonlive.com/commuting/2019/02/washington-bill-would-ban-studded-tires-in-2025-charge-fees-on-new-purchases.html?utm_medium=social&utm_source=twitter&utm_campaign=oregonian_sf,2019-02-04T19:48:59,1,"stud, studs, studded snow tires",NA
318,oregonian,https://www.oregonlive.com/clackamascounty/2019/02/lake-oswego-man-accused-of-killing-wife.html?utm_campaign=oregonian_sf&utm_source=twitter&utm_medium=social,2019-02-04T19:47:45,1,Michael Winchester (Clackamas County Sheriff's Office),(Clackamas County Sheriff's Office)
319,oregonian,https://www.oregonlive.com/opinion/2019/02/readers-respond-lobby-on-feb-6-for-clean-energy-jobs.html?utm_medium=social&utm_campaign=oregonian_sf&utm_source=twitter,2019-02-04T14:30:44,1,"Arlington, Oregon--February 19, 2013-- Shepherd's Flat wind farm near Arlington covers more than 30 square miles in Morrow and Gilliam Counties with 300 plus wind turbines. (Jamie Francis/The Oregonian)",(Jamie Francis/The Oregonian)
320,oregonian,https://www.oregonlive.com/entertainment/2019/02/sam-rockwell-and-michelle-williams-bring-a-legendary-duo-to-life-in-fosseverdon-tv-winter-press-tour.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T13:15:26,1,"Sam Rockwell and Michelle Williams talk about the FX limited series, ""Fosse/Verdon"" at the 2019 Winter Television Critics Association Press Tour. (Photo: Frederick M. Brown/Getty Images)",(Photo: Frederick M. Brown/Getty Images)
321,oregonian,https://www.oregonlive.com/environment/2019/02/mount-hood-wolf-may-have-died-from-injuries-sustained-when-it-was-captured-officials-say.html?utm_source=twitter&utm_campaign=oregonian_sf&utm_medium=social,2019-02-04T21:34:44,1,"Two wolf pups were observed on the Warm Springs reservation in early August, marking the first time the wolves have successfully bred in Oregon's northern Cascades since the animals returned to the state.",NA
