Index,Publisher,URL,Date,Num_Images,Caption,Credit/Source
18,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/board-advised-closing-insurance-marketplace/,"by
              
              Andy Davis
              
               | 
            
            February 9, 2019 at 4:30 a.m.",3,"Arkansas Health Insurance Marketplace Finance Director Tony Beeler (from left) and Director Angela Lowther discuss a plan to reduce the number of workers who help people sign up for health coverage at Wednesday’s board meeting in Little Rock with marketplace board members Greg Hatcher and Mark Meadors. - 
                        Photo by Thomas Metthe","(from left) and Director Angela Lowther discuss a plan to reduce the number of workers who help people sign up for health coverage at Wednesday’s board meeting in Little Rock with marketplace board members Greg Hatcher and Mark Meadors. - 
                        Photo by Thomas Metthe"
18,arkansasonline,,,3,"Photo by Staton Breidenthal
                                  Nate Bell, interim director of the Arkansas Health Insurance Marketplace, is shown in this photo.","Photo by Staton Breidenthal
                                  Nate Bell, interim director of the Arkansas Health Insurance Marketplace, is shown in this photo."
18,arkansasonline,,,3,"Rep. Allen Kerr, R-Little Rock, speaks on the house floor for his bill to create an Arkansas Veteran's Home task force which passed Friday afternoon at the State Capitol.",NA
19,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/cotton-joins-tour-at-burning-dump-site-/,"by
              
              Mike Jones
              
               | 
            
            February 9, 2019 at 4:30 a.m.",2,"Kevin White (left), associate director of land resources with the Arkansas Department of Environmental Quality, leads Arkansas’ U.S. Sen. Tom Cotton and others on a tour Friday at the stump dump fi re site in Bella Vista.  - 
                        Photo by Ben Goff","(left), associate director of land resources with the Arkansas Department of Environmental Quality, leads Arkansas’ U.S. Sen. Tom Cotton and others on a tour Friday at the stump dump fi re site in Bella Vista.  - 
                        Photo by Ben Goff"
19,arkansasonline,,,2,Federal and state officials view conditions Friday at the stump dump site in Bella Vista.,NA
21,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/tyson-plans-own-plant-based-foods-20190/,"by
              
              Nathan Owens
              
               | 
            
            February 9, 2019 at 4:30 a.m.",1,"In this Oct. 28, 2009, file photo, a Tyson Foods, Inc., truck is parked at a food warehouse in Little Rock. (AP Photo/Danny Johnston, File)","/Danny Johnston, File)"
22,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/lr-diocese-adds-to-list-of-accused-sex-/,"by
              
              Kat Stromquist
              
               | 
            
            February 9, 2019 at 4:30 a.m.",2,"The Cathedral of St. Andrew, dedicated in 1881, is the seat of the Catholic Diocese of Little Rock.  - 
                        Photo by Stephen B. Thornton",Photo by Stephen B. Thornton
22,arkansasonline,,,2,"Photo by Thomas Metthe
                                  Bishop Anthony Taylor","Photo by Thomas Metthe
                                  Bishop Anthony Taylor"
23,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/vet-slain-after-gunmen-break-into-home-/,"by
              
              Clara Turnage
              
               | 
            
            February 9, 2019 at 4:30 a.m.",1,"Little Rock police gather evidence Friday at a home in the 7300 block of Fairways Drive after responding to a 911 call there around 12:30 a.m. The caller reported an armed, masked intruder in the residence. Officers found a 34-year-old man fatally shot inside the home.  - 
                        Photo by Staton Breidenthal",Photo by Staton Breidenthal
24,arkansasonline,https://www.arkansasonline.com/news/2019/feb/09/former-springdale-pastor-sentenced-for-/,"by
              
              Ron Wood
              
               | 
            
            February 9, 2019 at 1:01 a.m.",1,Timothy Reddin,NA
