Index,Source,P/C,,,,Count
137,"""AP photo\/Gillian Flaccus""",Professional - ap,,,,2
138,"""AP photo\/Seth Wenig""",Professional - ap,,,,1
139,"""PublicDomainPictures.com""",Professional - co.,,,,2
140,"""Peters Township School District""",Professional - school,,,,1
141,"""family photo\/Greenwich Police Department via AP""",Professional - ap,,,,1
142,"""Rolf Vennenbernd, dpa\/AFP\/Getty Images""",Professional - getty,,,,1
143,"""Alabama Department of Corrections via AP""",Professional - ap,,,,1
144,"""AP photo\/Evan Agostini""",Professional - ap,,,,1
145,"""Valery Hache\/AFP\/Getty Images""",Professional - getty,,,,1
146,"""AP photo\/Matt Slocum""",Professional - ap,,,,1
147,"""AP photo\/Matt York""",Professional - ap,,,,1
148,"""Earl Wilson\/The New York Times""",Professional - times,,,,1
149,"""AP photo\/Michael Conroy""",Professional - ap,,,,1
150,"""AP photo\/ Evan Vucci""",Professional - ap,,,,4
151,"""Warner Bros. Pictures""",Professional - warner bros,,,,2
152,"""AP photo\/Francisco Seco""",Professional - ap,,,,1
153,"""AP photo\/Steve Helber""",Professional - ap,,,,5
154,"""AP photo""",Professional - ap,,,,1
155,"""AP photo\/Susan Walsh""",Professional - ap,,,,4
156,"""James Hilston\/Post-Gazette""",Professional - gazette,,,,5
157,"""AP photo\/J. Scott Applewhite""",Professional - ap,,,,12
158,"""Raul Arboleda\/AFP\/Getty Images""",Professional - getty,,,,1
159,"""Duane Rieder""",                              ,,,,4
160,"""AP photo\/Cliff Owen""",Professional - ap,,,,2
161,"""AP photo\/Hasan Jamali""",Professional - ap,,,,1
162,"""Shelly Bradbury\/Post-Gazette""",Professional - gazette,,,,4
163,"""Antonella Crescimbeni\/Post-Gazet""",Professional - gazette,,,,1
164,"""Alex Wong\/Getty Images""",Professional - getty,,,,2
165,"""Pittsburgh Cultural Trust""",Professional - pittsburgh,,,,1
166,"""Jason Miller\/Getty Images""",Professional - getty,,,,1
167,"""Mark Murphy\/Post-Gazette""",Professional - gazette,,,,1
168,"""Doug Mills\/The New York Times""",Professional - times,,,,1
169,"""Peter Diana\/Post-Gazette""",Professional - gazette,,,,7
170,"""Marlene Karas\/Pittsburgh Press""",Professional - press,,,,1
171,"""AP Photo\/File""",Professional - file,,,,1
172,"""Dylan Nussbaum""",                              ,,,,1
173,"""Getty Images \/ iStockphoto""",Professional - istock,,,,3
174,"""John Hayes \/ Pittsburgh Post-Gazette""",Professional - gazette,,,,1
175,"""Ross Guidotti\/KDKA-TV""",Professional - kdka-tv,,,,1
176,"""Image courtesy of Aurora Innovation""",Professional - aurora innovation,,,,1
177,"""Pittsburgh Post-Gazette""",Professional - gazette,,,,3
178,"""The Museum of Beer""",Professional - museum,,,,2
179,"""Matt Becker""",                              ,,,,1
180,"""Ron Batzdorff\/NBC""",Professional - nbc,,,,2
181,"""Richard Foreman, Jr\/AMC""",Professional - amc,,,,1
